time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-11-05 14:33:05.263 UTC, ,125,3159221,1056,13368, , ,3,1,23,3,0,13, , , , , , , ,3,3, ,2,1,2,1,5, ,35,15, , , , , , , , , , , , , ,8783,9, ,8073, , , , , ,19,19, , , , , ,2,102, , , , , , , , , , , , , , , , , , , , , , , , ,1478356384938,3145728, , , ,24,0, , , ,2, , , ,3, , , , ,24, ,2048,1, , , , ,149504,37, , , , , , , , , , ,20451584,-1, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:33:05.271 UTC, ,125,3162405,1056,16552, , ,4, ,4,1,0,25, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,8783,9, ,8073, , , , , ,19,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478356384938,3145728, , , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,20451584,-1, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:33:37.969 UTC, ,125,3159221,1056,13368, , ,3,1,23,3,0,13, , , , , , , ,3,3, ,2,1,2,1,5, ,35,15, , , , , , , , , , , , , ,8783,9, ,8073, , , , , ,19,19, , , , , ,2,102, , , , , , , , , , , , , , , , , , , , , , , , ,1478356417646,3145728, , , ,24,0, , , ,2, , , ,3, , , , ,24, ,2048,1, , , , ,149504,37, , , , , , , , , , ,20559592,-1, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:33:37.973 UTC, ,125,3162405,1056,16552, , ,4, ,3,1,0,33, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,8783,9, ,8073, , , , , ,19,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478356417646,3145728, , , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,20559592,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:33:40.234 UTC, ,125,3159245,1056,13392, , ,3,1,22,3,0,14, , , , , , , ,3,3, ,2,1,2,1,5, ,36,16, , , , , , , , , , , , , ,9803,10, ,9058, , , , , ,19,19, , , , , ,2,113, , , , , , , , , , , , , , , , , , , , , , , , ,1478356419914,3145728, , , ,25,0, , , ,2, , , ,3, , , , ,25, ,2048,1, , , , ,151552,38, , , , , , , , , , ,20527792,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:33:40.242 UTC, ,125,3162501,1056,16648, , ,4,1,4,1,0,25, , , , , , , ,4,4, , ,1,2,2,6, ,2,1, , , , , , , , , , , , , ,9803,10, ,9058, , , , , ,19,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478356419914,3145728, , , ,4,0, , , ,1, , , ,3, , , , ,4,1, , , , , , ,10240,5, , , , , , , , , , ,20527792,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:34:02.416 UTC, ,125,3159245,1056,13392, , ,3,1,22,3,0,14, , , , , , , ,3,3, ,2,1,2,1,5, ,36,16, , , , , , , , , , , , , ,9803,10, ,9058, , , , , ,19,19, , , , , ,2,113, , , , , , , , , , , , , , , , , , , , , , , , ,1478356442095,3145728, , , ,25,0, , , ,2, , , ,3, , , , ,25, ,2048,1, , , , ,151552,38, , , , , , , , , , ,20515256,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:34:02.420 UTC, ,125,3162501,1056,16648, , ,4,1,3,1,0,33, , , , , , , ,4,4, , ,1,2,2,6, ,2,1, , , , , , , , , , , , , ,9803,10, ,9058, , , , , ,19,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478356442095,3145728, , , ,4,0, , , ,1, , , ,3, , , , ,4,1, , , , , , ,10240,5, , , , , , , , , , ,20515256,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:34:12.007 UTC, ,125,3159269,1056,13416, , ,3, ,22,3,0,14, , , , , , , ,3,3, ,2, ,2,1,5, ,38,17, , , , , , , , , , , , , ,10843,11, ,10055, , , , , ,17,17, , , , , ,2,122, , , , , , , , , , , , , , , , , , , , , , , , ,1478356451678,3145728, , , ,25,0, , , ,2, , , ,3, , , , ,25, ,2048,1, , , , ,151552,38, , , , , , , , , , ,20517464,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:34:12.012 UTC, ,125,3162573,1056,16720, , ,4,1,3,1,0,33, , , , , , , ,4,4, , ,1,2,2,6, ,2,1, , , , , , , , , , , , , ,10843,11, ,10055, , , , , ,17,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478356451678,3145728, , , ,4,0, , , ,1, , , ,3, , , , ,4,1, , , , , , ,10240,5, , , , , , , , , , ,20517464,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:34:21.856 UTC, ,125,3159293,1056,13440, , ,3,1,22,3,0,14, , , , , , , ,3,3, ,2,1,2,1,5, ,40,18, , , , , , , , , , , , , ,12046,12, ,11099, , , , , ,16,16, , , , , ,2,133, , , , , , , , , , , , , , , , , , , , , , , , ,1478356461528,3145728, , , ,27,0, , , ,2, , , ,3, , , , ,27, ,2048,1, , , , ,155648,40, , , , , , , , , , ,20603304,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:34:21.861 UTC, ,125,3162645,1056,16792, , ,4, ,3,1,0,33, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,12046,12, ,11099, , , , , ,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478356461528,3145728, , , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,20603304,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:34:25.911 UTC, ,125,3159317,1056,13464, , ,3,1,23,3,0,14, , , , , , , ,3,3, ,2,1,2,1,5, ,42,19, , , , , , , , , , , , , ,12940,13, ,12307, , , , , ,17,17, , , , , ,2,142, , , , , , , , , , , , , , , , , , , , , , , , ,1478356465583,3145728, , , ,28,0, , , ,2, , , ,3, , , , ,28, ,2048,1, , , , ,157696,41, , , , , , , , , , ,20534656,-1, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:34:25.915 UTC, ,125,3161237,1056,15384, , ,4,1,2,1,0,50,1, , , , , ,1,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,12940,13, ,12307, , , , , ,17,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478356465583,3145728, , , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,21037968,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , 
2016-11-05 14:34:30.012 UTC, ,125,3159341,1056,13488, , ,3,1,22,3,0,14, , , , , , , ,3,3, ,2,1,2,1,5, ,44,20, , , , , , , , , , , , , ,14001,14, ,13201, , , , , ,16,16, , , , , ,2,153, , , , , , , , , , , , , , , , , , , , , , , , ,1478356469686,3145728, , , ,29,0, , , ,2, , , ,3, , , , ,29, ,2048,1, , , , ,159744,42, , , , , , , , , , ,20742872,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:34:30.016 UTC, ,125,3162805,1056,16952, , ,4,1,3,1,0,33, , , , , , , ,4,4, , ,1,2,2,6, ,2,1, , , , , , , , , , , , , ,14001,14, ,13201, , , , , ,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478356469686,3145728, , , ,4,0, , , ,1, , , ,3, , , , ,4,1, , , , , , ,10240,5, , , , , , , , , , ,20742872,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:34:36.606 UTC, ,125,3159365,1056,13512, , ,3, ,22,3,0,14, , , , , , , ,3,3, ,2, ,2,1,5, ,46,21, , , , , , , , , , , , , ,15152,15, ,14262, , , , , ,15,15, , , , , ,2,162, , , , , , , , , , , , , , , , , , , , , , , , ,1478356476280,3145728, , , ,29,0, , , ,2, , , ,3, , , , ,29, ,2048,1, , , , ,159744,42, , , , , , , , , , ,20606824,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:34:36.610 UTC, ,125,3162885,1056,17032, , ,4,1,3,1,0,33, , , , , , , ,4,4, , ,1,2,2,6, ,2,1, , , , , , , , , , , , , ,15152,15, ,14262, , , , , ,15,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478356476280,3145728, , , ,4,0, , , ,1, , , ,3, , , , ,4,1, , , , , , ,10240,5, , , , , , , , , , ,21110136,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:34:42.310 UTC, ,125,3159389,1056,13536, , ,3,1,22,3,0,14, , , , , , , ,3,3, ,2,1,2,1,5, ,48,22, , , , , , , , , , , , , ,16570,16, ,15432, , , , , ,14,14, , , , , ,3,173, , , , , , , , , , , , , , , , , , , , , , , , ,1478356481988,3145728, , , ,31,0, , , ,2, , , ,3, , , , ,31, ,2048,1, , , , ,180224,46, , , , , , , , , , ,20797096,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:34:42.314 UTC, ,125,3162981,1056,17128, , ,4, ,3,1,0,33, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,16570,16, ,15432, , , , , ,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478356481988,3145728, , , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,20797096,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:34:48.923 UTC, ,125,3159413,1056,13560, , ,3,1,22,3,0,14, , , , , , , ,3,3, ,2,1,2,1,5, ,50,23, , , , , , , , , , , , , ,17472,17, ,16831, , , , , ,15,15, , , , , ,3,182, , , , , , , , , , , , , , , , , , , , , , , , ,1478356488599,3145728, , , ,32,0, , , ,2, , , ,3, , , , ,32, ,2048,1, , , , ,182272,47, , , , , , , , , , ,20590816,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:34:48.928 UTC, ,125,3161349,1056,15496, , ,4,1,3,1,0,33,1, , , , , ,1,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,17472,17, ,16831, , , , , ,15,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478356488599,3145728, , , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,21094128,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , 
2016-11-05 14:34:54.396 UTC, ,125,3159437,1056,13584, , ,3,1,22,3,0,14, , , , , , , ,3,3, ,2,1,2,1,5, ,52,24, , , , , , , , , , , , , ,18493,18, ,17709, , , , , ,14,14, , , , , ,3,193, , , , , , , , , , , , , , , , , , , , , , , , ,1478356494067,3145728, , , ,33,0, , , ,2, , , ,3, , , , ,33, ,2048,1, , , , ,184320,48, , , , , , , , , , ,20634408,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:34:54.401 UTC, ,125,3161405,1056,15552, , ,4,1,3,1,0,33,1, , , , , ,1,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,18493,18, ,17709, , , , , ,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478356494067,3145728, , , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,21137768,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , 
2016-11-05 14:35:02.313 UTC, ,125,3159461,1056,13608, , ,3,1,23,3,0,13, , , , , , , ,3,3, ,2,1,2,1,5, ,55,25, , , , , , , , , , , , , ,19441,19, ,18730, , , , , ,14,14, , , , , ,3,202, , , , , , , , , , , , , , , , , , , , , , , , ,1478356501982,3145728, , , ,34,0, , , ,2, , , ,3, , , , ,34, ,2048,1, , , , ,186368,49, , , , , , , , , , ,20657792,-1, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:35:02.318 UTC, ,125,3163173,1056,17320, , ,4,1,3,1,0,33, , , , , , , ,4,4, , ,1,2,2,6, ,2,1, , , , , , , , , , , , , ,19441,19, ,18730, , , , , ,14,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478356501982,3145728, , , ,4,0, , , ,1, , , ,3, , , , ,4,1, , , , , , ,10240,5, , , , , , , , , , ,21161104,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:35:16.157 UTC, ,125,3159485,1056,13632, , ,3, ,22,3,0,14, , , , , , , ,3,3, ,2, ,2,1,5, ,56,26, , , , , , , , , , , , , ,20757,20, ,19695, , , , , ,13,13, , , , , ,3,213, , , , , , , , , , , , , , , , , , , , , , , , ,1478356515832,3145728, , , ,34,0, , , ,2, , , ,3, , , , ,34, ,2048,1, , , , ,186368,49, , , , , , , , , , ,20713024,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:35:16.162 UTC, ,125,3163245,1056,17392, , ,4,1,3,1,0,33, , , , , , , ,4,4, , ,1,2,2,6, ,2,1, , , , , , , , , , , , , ,20757,20, ,19695, , , , , ,13,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478356515832,3145728, , , ,4,0, , , ,1, , , ,3, , , , ,4,1, , , , , , ,10240,5, , , , , , , , , , ,21216360,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:35:29.673 UTC, ,125,3159509,1056,13656, , ,3,1,22,3,0,14, , , , , , , ,3,3, ,2,1,2,1,5, ,58,27, , , , , , , , , , , , , ,22180,21, ,21003, , , , , ,13,13, , , , , ,3,222, , , , , , , , , , , , , , , , , , , , , , , , ,1478356529348,3145728, , , ,36,0, , , ,2, , , ,3, , , , ,36, ,2048,1, , , , ,190464,51, , , , , , , , , , ,20716008,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:35:29.678 UTC, ,125,3163309,1056,17456, , ,4, ,3,1,0,33, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,22180,21, ,21003, , , , , ,13,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478356529348,3145728, , , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,21219504,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:35:36.580 UTC, ,125,3159533,1056,13680, , ,3,1,22,3,0,14, , , , , , , ,3,3, ,2,1,2,1,5, ,60,28, , , , , , , , , , , , , ,23222,22, ,22453, , , , , ,13,13, , , , , ,3,233, , , , , , , , , , , , , , , , , , , , , , , , ,1478356536242,3145728, , , ,37,0, , , ,2, , , ,3, , , , ,37, ,2048,1, , , , ,192512,52, , , , , , , , , , ,20719400,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:35:36.585 UTC, ,125,3161485,1056,15632, , ,4,1,3,1,0,33,1, , , , , ,1,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,23222,22, ,22453, , , , , ,13,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478356536242,3145728, , , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,21222712,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , 
2016-11-05 14:35:44.573 UTC, ,125,3159557,1056,13704, , ,3,1,22,3,0,14, , , , , , , ,3,3, ,2,1,2,1,5, ,62,29, , , , , , , , , , , , , ,24163,23, ,23461, , , , , ,13,13, , , , , ,3,242, , , , , , , , , , , , , , , , , , , , , , , , ,1478356544241,3145728, , , ,38,0, , , ,2, , , ,3, , , , ,38, ,2048,1, , , , ,194560,53, , , , , , , , , , ,21069112,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:35:44.578 UTC, ,125,3161541,1056,15688, , ,4,1,3,1,0,33,1, , , , , ,1,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,24163,23, ,23461, , , , , ,13,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478356544241,3145728, , , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,21069112,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , 
2016-11-05 14:35:52.213 UTC, ,125,3159581,1056,13728, , ,3,1,22,3,0,14, , , , , , , ,3,3, ,2,1,2,1,5, ,64,30, , , , , , , , , , , , , ,25245,24, ,24402, , , , , ,13,13, , , , , ,4,253, , , , , , , , , , , , , , , , , , , , , , , , ,1478356551882,3145728, , , ,39,0, , , ,2, , , ,3, , , , ,39, ,2048,1, , , , ,212992,56, , , , , , , , , , ,21043000,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-05 14:35:52.217 UTC, ,125,3161597,1056,15744, , ,4,1,3,1,0,33,1, , , , , ,1,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,25245,24, ,24402, , , , , ,13,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1478356551882,3145728, , , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,21043000,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , 
2016-11-05 14:35:57.619 UTC, ,125,3159605,1056,13752, , ,3,1,22,3,0,14, , , , , , , ,3,3, ,2,1,2,1,5, ,66,31, , , , , , , , , , , , , ,26310,25, ,25511, , , , , ,13,13, , , , , ,4,262, , , , , , , , , , , , , , , , , , , , , , , , ,1478356557284,3145728, , , ,40,0, , , ,2, , , ,3, , , , ,40, ,2048,1, , , , ,215040,57, , , , , , , , , , ,21052488,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
